playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K_per_9,BB_per_9,K_BB_ratio,ERA_calc,FIP,OBA,QS_pct,H_per_9,HR_per_9,SO_per_BB,ERA_minus,FIP_minus,BF,K_pct
abbotan01,2024,1,CIN,NL,10,10,25,25,0,0,0,414,127,57,25,52,114,0.24,3.72,1,5,2,0,586,0,60,1,2,6,138,1.297,7.435,3.391,2.192,3.717,4.933,0.217,NA,8.283,1.63,2.192,87.9,125.7,166,68.7
abreubr01,2024,1,HOU,AL,3,3,78,0,0,0,1,235,59,27,9,32,103,0.207,3.1,0,4,6,1,325,3,27,1,1,5,78.33333333333333,1.162,11.834,3.677,3.219,3.102,3.189,0.182,NA,6.779,1.034,3.219,73.3,81.3,135,76.3
adamja01,2024,2,SDN,NL,3,0,27,0,0,0,0,80,14,3,1,7,31,0.152,1.01,1,2,3,1,102,1,3,0,0,2,26.666666666666668,0.787,10.462,2.363,4.429,1.012,2.05,0.137,NA,4.725,0.337,4.429,23.9,52.2,38,81.6
adamja01,2024,1,TBA,AL,4,2,47,0,0,0,4,141,26,13,4,16,50,0.164,2.49,3,0,3,0,180,9,17,0,2,3,47,0.894,9.574,3.064,3.125,2.489,3.1,0.144,NA,4.979,0.766,3.125,58.9,79,66,75.8
adamsau02,2024,1,OAK,AL,1,2,56,0,0,0,0,124,38,18,4,23,53,0.25,3.92,2,6,13,0,191,6,20,1,2,3,41.333333333333336,1.476,11.54,5.008,2.304,3.919,3.463,0.199,NA,8.274,0.871,2.304,92.7,88.2,76,69.7
adonjo01,2024,1,WAS,NL,0,0,8,1,0,0,0,32,12,8,2,4,6,0.293,6.75,0,0,1,0,48,5,8,1,1,1,10.666666666666666,1.5,5.062,3.375,1.5,6.75,5.537,0.25,NA,10.125,1.688,1.5,159.6,141.1,10,60
aguiaju01,2024,1,CIN,NL,2,1,7,7,0,0,0,95,30,22,8,12,19,0.244,6.25,1,1,5,0,140,0,22,0,0,4,31.666666666666668,1.326,5.4,3.411,1.583,6.253,6.321,0.214,NA,8.526,2.274,1.583,147.8,161.1,31,61.3
akinke01,2024,1,BAL,AL,3,1,66,0,0,0,1,236,55,29,9,19,97,0.193,3.32,1,4,2,0,313,21,31,2,5,2,78.66666666666667,0.941,11.097,2.174,5.105,3.318,2.846,0.176,NA,6.292,1.03,5.105,78.5,72.5,116,83.6
alcaljo01,2024,1,MIN,AL,4,3,54,0,0,0,0,175,40,21,8,20,58,0.19,3.24,1,4,3,0,235,5,23,0,1,1,58.333333333333336,1.029,8.949,3.086,2.9,3.24,3.923,0.17,NA,6.171,1.234,2.9,76.6,100,78,74.4
alexasc01,2024,1,OAK,AL,1,3,45,0,0,0,0,116,31,11,3,15,31,0.223,2.56,7,2,2,0,160,9,14,2,2,4,38.666666666666664,1.19,7.216,3.491,2.067,2.56,3.669,0.194,NA,7.216,0.698,2.067,60.5,93.5,46,67.4
